Unit,Adaptive Treatment,Fraction Treated,Treatment Effect Function,Method,NMAE,NMAE Treated Only
County Name,True,0.05,additive,My Estimator,0.47349388073832704,0.27882359109333
County Name,True,0.05,additive,MCNNM,0.0,0.5071075699757392
County Name,True,0.05,additive,LinearDML,0.7298167403732758,0.2845817300732569
County Name,True,0.05,additive,DML,0.9022663189156188,0.39679315880714305
County Name,True,0.05,additive,CausalForestDML,16.193780435394896,0.30879906868384877
County Name,True,0.05,additive,DRLearner,2122.196019687499,6201.903176969366
County Name,True,0.05,additive,ForestDRLearner,0.6917608985271279,2.6609587468812816
County Name,True,0.05,additive,XLearner,0.4445666024854236,0.44133733056795715
County Name,True,0.05,additive,Causal Forest (R),0.45673889305589366,0.14033197642337822
County Name,True,0.05,additive,My Estimator,0.4158409586364165,0.15417151389287595
County Name,True,0.05,additive,MCNNM,0.0,0.3015396055731024
County Name,True,0.05,additive,LinearDML,0.24379935288467836,0.08205962403003593
County Name,True,0.05,additive,DML,0.6518469750688228,0.2732314844746837
County Name,True,0.05,additive,CausalForestDML,18.39691526774032,0.19078493134973476
County Name,True,0.05,additive,DRLearner,1.5170874682854583,1.660764320225909
County Name,True,0.05,additive,ForestDRLearner,0.5956262160726309,1.3920899327248848
County Name,True,0.05,additive,XLearner,0.4139660286997533,0.26723196334689375
County Name,True,0.05,additive,Causal Forest (R),0.3697562244398605,0.10325299329883644
County Name,True,0.05,additive,My Estimator,0.49924176345166266,0.2227022788233175
County Name,True,0.05,additive,MCNNM,0.0,0.3746084940811639
County Name,True,0.05,additive,LinearDML,0.19410427052408177,0.10937345001831836
County Name,True,0.05,additive,DML,0.22374943015798435,0.1874771576670918
County Name,True,0.05,additive,CausalForestDML,15.929775951057648,0.22528535566263883
County Name,True,0.05,additive,DRLearner,1886.968503514418,3929.3019812356933
County Name,True,0.05,additive,ForestDRLearner,0.6836788220156943,2.0207319095559773
County Name,True,0.05,additive,XLearner,0.3930551520459864,0.33831005179628376
County Name,True,0.05,additive,Causal Forest (R),0.41200885707309925,0.09727775270581172
County Name,True,0.05,additive,My Estimator,0.2413304257122675,0.1165709778261143
County Name,True,0.05,additive,MCNNM,0.0,0.24379491062633632
County Name,True,0.05,additive,LinearDML,0.17395252659257862,0.0731895183279357
County Name,True,0.05,additive,DML,0.23660210884670016,0.11376799734694171
County Name,True,0.05,additive,CausalForestDML,18.42147643202039,0.16672047824780437
County Name,True,0.05,additive,DRLearner,1.0135997359626214,0.9568659883347289
County Name,True,0.05,additive,ForestDRLearner,0.5631912923253756,1.6217889196858553
County Name,True,0.05,additive,XLearner,0.28285090705284105,0.2149081778517719
County Name,True,0.05,additive,Causal Forest (R),0.21746919424986894,0.09387346054683866
County Name,False,0.05,additive,My Estimator,0.7799512953914927,0.5949067923452851
