Unit,Adaptive Treatment,Fraction Treated,Treatment Effect Function,Method,NMAE,NMAE Treated Only
County Name,True,0.05,additive,My Estimator,0.6211420578074338,0.28670659089557576
County Name,True,0.05,additive,MCNNM,0.0,0.5080394559177376
County Name,True,0.05,additive,LinearDML,0.19766925103844266,0.1340373342521204
County Name,True,0.05,additive,DML,0.0896410776866945,0.12814397216238496
County Name,True,0.05,additive,CausalForestDML,16.05711845856994,0.31785303347171884
County Name,True,0.05,additive,DRLearner,1.974990788610427,4.248966979311991
County Name,True,0.05,additive,ForestDRLearner,0.7549229156917684,2.9764379229137687
County Name,True,0.05,additive,XLearner,0.4515593490846161,0.45084812223076187
County Name,True,0.05,additive,Causal Forest (R),0.5028215599276016,0.12034427752790329
County Name,True,0.05,additive,My Estimator,0.061686922290630115,0.06521086793021617
County Name,True,0.05,additive,MCNNM,0.0,0.2185715609714888
County Name,True,0.05,additive,LinearDML,0.11273318215133514,0.06534415761713451
County Name,True,0.05,additive,DML,0.28479583377395845,0.2102678483542831
County Name,True,0.05,additive,CausalForestDML,6.933803730074618,0.1395562140996931
County Name,True,0.05,additive,DRLearner,1.0220556916328496,0.8684311581137522
County Name,True,0.05,additive,ForestDRLearner,0.4543458173179477,1.1550443760496945
County Name,True,0.05,additive,XLearner,0.37796592740454943,0.19205893312163766
County Name,True,0.05,additive,Causal Forest (R),0.049292633104563936,0.03907525541860824
County Name,True,0.05,additive,My Estimator,0.6472864624704932,0.34961359831131766
County Name,True,0.05,additive,MCNNM,0.0,0.586284901605776
County Name,True,0.05,additive,LinearDML,0.16148505227152324,0.14223901723693774
County Name,True,0.05,additive,DML,0.9090005366640734,0.7459523222852894
County Name,True,0.05,additive,CausalForestDML,15.554954407556316,0.3404214906262476
County Name,True,0.05,additive,DRLearner,1.2015524970788736,2.7822094420269665
County Name,True,0.05,additive,ForestDRLearner,0.8063083191244853,3.3507884098685974
County Name,True,0.05,additive,XLearner,0.44552467443817706,0.4994628923516401
County Name,True,0.05,additive,Causal Forest (R),0.5341061847291079,0.14546703903460176
County Name,True,0.05,additive,My Estimator,0.776437633648148,0.6846159638170843
County Name,True,0.05,additive,MCNNM,0.0,1.007783186883081
County Name,True,0.05,additive,LinearDML,0.3975525853535027,0.37601439150252053
County Name,True,0.05,additive,DML,0.9896362739477679,0.9544034176523339
County Name,True,0.05,additive,CausalForestDML,16.369456120635366,0.5397623302000015
County Name,True,0.05,additive,DRLearner,1.3790784224732242,4.805880516781581
County Name,True,0.05,additive,ForestDRLearner,1.086232062527806,5.569998594314113
County Name,True,0.05,additive,XLearner,0.6171391801066718,0.923239467435889
County Name,True,0.05,additive,Causal Forest (R),0.6628016145209397,0.27260904113594253
County Name,True,0.05,additive,My Estimator,0.5355156694136781,0.2827918463305509
County Name,True,0.05,additive,MCNNM,0.0,0.5585845602931967
County Name,True,0.05,additive,LinearDML,0.18754693720422663,0.14797936891743627
County Name,True,0.05,additive,DML,0.792435996615693,0.3281666585548303
County Name,True,0.05,additive,CausalForestDML,8.24937527990127,0.34266475768325344
County Name,True,0.05,additive,DRLearner,1.4348141372799597,3.464629638427624
County Name,True,0.05,additive,ForestDRLearner,1.0067890523146734,5.026262914586465
County Name,True,0.05,additive,XLearner,0.44531299343450587,0.4708632423406988
County Name,True,0.05,additive,Causal Forest (R),0.5046230840264817,0.13842229751886498
County Name,False,0.05,additive,My Estimator,0.37468119381665543,0.33932483234839
County Name,False,0.05,additive,MCNNM,0.0,0.5851250259976674
County Name,False,0.05,additive,LinearDML,1.4283982190796478,1.0946242361019038
County Name,False,0.05,additive,DML,0.6950903492060282,0.6644700205546039
County Name,False,0.05,additive,CausalForestDML,0.7044030978701341,0.6451272932702599
County Name,False,0.05,additive,DRLearner,293.41942524712056,305.0770230652617
County Name,False,0.05,additive,ForestDRLearner,0.7531450512071387,3.9426987974559817
