Unit,Adaptive Treatment,Fraction Treated,Treatment Effect Function,Method,NMAE,NMAE Treated Only
State Name,True,0.05,additive,My Estimator,0.4970072348809301,0.3386463381868902
State Name,True,0.05,additive,MCNNM,0.0,0.21024339214962698
State Name,True,0.05,additive,LinearDML,0.43141526076894887,0.48127082075453703
State Name,True,0.05,additive,DML,0.49931195143342766,0.5985544299776192
State Name,True,0.05,additive,CausalForestDML,0.9403091788493184,0.3641057510776848
State Name,True,0.05,additive,DRLearner,0.9297130784898645,2.2691147702242804
State Name,True,0.05,additive,ForestDRLearner,1.7939510390063564,8.618633225806855
State Name,True,0.05,additive,XLearner,0.3740494780720409,0.4621844545723943
State Name,True,0.05,additive,Causal Forest (R),0.527994585408344,0.4592671202718774
State Name,True,0.05,additive,My Estimator,0.19061445302092106,0.14611104527676394
State Name,True,0.05,additive,MCNNM,0.0,0.0539194389654825
State Name,True,0.05,additive,LinearDML,0.5755049803578546,0.16016030216474397
State Name,True,0.05,additive,DML,0.3116337581927128,0.2819561239231183
State Name,True,0.05,additive,CausalForestDML,8.190046610351153,0.11769921238820989
State Name,True,0.05,additive,DRLearner,6058.449697021861,5173.517608850501
State Name,True,0.05,additive,ForestDRLearner,1.0747439331883806,2.194150068088256
State Name,True,0.05,additive,XLearner,0.251670908471374,0.14430993846462686
State Name,True,0.05,additive,Causal Forest (R),0.4280916060416615,0.23050879968996948
State Name,True,0.05,additive,My Estimator,0.4716479797875803,0.3022542934681089
State Name,True,0.05,additive,MCNNM,0.0,0.1644487226031681
State Name,True,0.05,additive,LinearDML,0.9742602740369257,0.5561478530540539
State Name,True,0.05,additive,DML,0.48563622771038667,0.5841344729057696
State Name,True,0.05,additive,CausalForestDML,0.6645878668931408,0.28070329107901104
State Name,True,0.05,additive,DRLearner,18.99883532758154,55.90556026857998
State Name,True,0.05,additive,ForestDRLearner,1.649394517253396,5.611605884929308
State Name,True,0.05,additive,XLearner,0.3661306737165746,0.3941912023152448
State Name,True,0.05,additive,Causal Forest (R),0.4777097755622193,0.3416185964387875
State Name,True,0.05,additive,My Estimator,0.5162835370316031,0.3522953636298661
State Name,True,0.05,additive,MCNNM,0.0,0.1843207191480591
State Name,True,0.05,additive,LinearDML,1.0481538040174838,0.8397749449694717
State Name,True,0.05,additive,DML,0.43966921346018956,0.4498009103904677
State Name,True,0.05,additive,CausalForestDML,4.546421248553828,0.31818817373219055
State Name,True,0.05,additive,DRLearner,2.200699256378479,7.13224481378778
State Name,True,0.05,additive,ForestDRLearner,1.6900722156854968,7.68238204543161
State Name,True,0.05,additive,XLearner,0.4352204394537008,0.4307105024211412
State Name,True,0.05,additive,Causal Forest (R),0.5189376155480909,0.4059350590143884
State Name,True,0.05,additive,My Estimator,0.5177753070869487,0.35401421794841464
State Name,True,0.05,additive,MCNNM,0.0,0.20248002716368527
State Name,True,0.05,additive,LinearDML,1.400133507612791,0.879592301598776
State Name,True,0.05,additive,DML,0.41711789636175833,0.4150356096162747
State Name,True,0.05,additive,CausalForestDML,1.885163718910743,0.23932621868383153
State Name,True,0.05,additive,DRLearner,36.68773952385593,65.83363533553101
State Name,True,0.05,additive,ForestDRLearner,2.7470634115902515,11.414669515978588
State Name,True,0.05,additive,XLearner,0.3781907666250929,0.4712875149330132
State Name,True,0.05,additive,Causal Forest (R),0.5274653884037734,0.4352059429889177
State Name,False,0.05,additive,My Estimator,0.22785045129715117,0.15975309402784496
State Name,False,0.05,additive,MCNNM,0.0,0.07327786029742422
State Name,False,0.05,additive,LinearDML,2.060409170493648,0.20305153445342916
State Name,False,0.05,additive,DML,0.4943448451986951,0.42827610577363995
State Name,False,0.05,additive,CausalForestDML,6.585230069526205,0.2725541926746952
State Name,False,0.05,additive,DRLearner,1528.7669526904067,3468.6973290377073
State Name,False,0.05,additive,ForestDRLearner,0.7484984589213816,2.708425543539461
State Name,False,0.05,additive,XLearner,0.307375453763586,0.16070725521996404
State Name,False,0.05,additive,Causal Forest (R),0.20092124766035613,0.12144407992593484
State Name,False,0.05,additive,My Estimator,0.34349385662199783,0.25415322917724925
State Name,False,0.05,additive,MCNNM,0.0,0.05595475181402411
State Name,False,0.05,additive,LinearDML,5.963358267224615,0.5929297608424441
State Name,False,0.05,additive,DML,0.6399872673286875,0.5421124335172967
State Name,False,0.05,additive,CausalForestDML,0.4040884875422865,0.2491991985057157
State Name,False,0.05,additive,DRLearner,0.830853103983119,0.5835854409728515
State Name,False,0.05,additive,ForestDRLearner,3986.089110948389,24220.889143699722
State Name,False,0.05,additive,XLearner,0.24003376906483598,0.15046767082080828
State Name,False,0.05,additive,Causal Forest (R),0.338113041661359,0.17275590325785697
State Name,False,0.05,additive,My Estimator,0.6840595732847187,0.5482972321399375
State Name,False,0.05,additive,MCNNM,0.0,0.19990231511231654
State Name,False,0.05,additive,LinearDML,5.029599233085116,0.6241215445483284
State Name,False,0.05,additive,DML,0.19873812161819154,0.23018756363535064
State Name,False,0.05,additive,CausalForestDML,0.5134745005729417,0.2986243110970796
State Name,False,0.05,additive,DRLearner,0.88600163823311,0.6398600746819525
State Name,False,0.05,additive,ForestDRLearner,1.273542686833215,8.152135219718243
State Name,False,0.05,additive,XLearner,0.3897073587627265,0.4941516700718183
State Name,False,0.05,additive,Causal Forest (R),0.5459847210738871,0.2910781171377148
State Name,False,0.05,additive,My Estimator,1.0113254906236742,0.25577160884897393
State Name,False,0.05,additive,MCNNM,0.0,0.14523868738351803
State Name,False,0.05,additive,LinearDML,4.428607390117739,0.3387037974788971
State Name,False,0.05,additive,DML,0.470450114463533,0.4195565757123737
State Name,False,0.05,additive,CausalForestDML,4.450200495660806,0.2904892537339551
State Name,False,0.05,additive,DRLearner,0.7904738224072214,0.39207223503533595
State Name,False,0.05,additive,ForestDRLearner,10.028410518701152,39.692620259096905
State Name,False,0.05,additive,XLearner,0.9925025865190102,0.1273582640161983
State Name,False,0.05,additive,Causal Forest (R),0.732825116309787,0.2960421773450397
State Name,False,0.05,additive,My Estimator,0.5856903960113827,0.028755992498493366
State Name,False,0.05,additive,MCNNM,0.0,0.18121763468521393
State Name,False,0.05,additive,LinearDML,1.8807921774732133,0.24025730082934862
State Name,False,0.05,additive,DML,0.5312866018570279,0.07650874841018528
State Name,False,0.05,additive,CausalForestDML,0.6853524899915318,0.3927535729608478
State Name,False,0.05,additive,DRLearner,0.8630385824507121,0.8154096635265469
State Name,False,0.05,additive,ForestDRLearner,29.760831248910154,62.26079414974445
State Name,False,0.05,additive,XLearner,0.6299857940414828,0.3376239901569767
State Name,False,0.05,additive,Causal Forest (R),0.8921723191518746,0.3559539624293777
State Name,True,0.05,multiplicative,My Estimator,0.4933460551836876,0.3947338542033344
State Name,True,0.05,multiplicative,MCNNM,0.0,0.19010275634006737
State Name,True,0.05,multiplicative,LinearDML,0.7319322171478432,0.5307456770467495
State Name,True,0.05,multiplicative,DML,0.9999999999999991,0.9999999999999991
State Name,True,0.05,multiplicative,CausalForestDML,1.5813604566155766,0.36903497894114456
State Name,True,0.05,multiplicative,DRLearner,78.19865858687447,276.61604424741427
State Name,True,0.05,multiplicative,ForestDRLearner,3.2959681888456123,12.569403285595609
State Name,True,0.05,multiplicative,XLearner,0.457899153657956,0.3908884087869036
State Name,True,0.05,multiplicative,Causal Forest (R),0.5066228056532381,0.5100389807421551
State Name,True,0.05,multiplicative,My Estimator,0.07818311767992368,0.06967769615091478
State Name,True,0.05,multiplicative,MCNNM,0.0,0.06492521943600911
State Name,True,0.05,multiplicative,LinearDML,0.47174771743835053,0.14919723620283667
State Name,True,0.05,multiplicative,DML,0.9528358154055913,0.45080765512495713
State Name,True,0.05,multiplicative,CausalForestDML,0.291337387120766,0.1513330728651655
State Name,True,0.05,multiplicative,DRLearner,6031.296590834291,6077.363812854953
State Name,True,0.05,multiplicative,ForestDRLearner,4.041300471281396,7.151644793329198
State Name,True,0.05,multiplicative,XLearner,0.5957721439915424,0.16042081354569304
State Name,True,0.05,multiplicative,Causal Forest (R),0.26000821601440727,0.12066995169297991
State Name,True,0.05,multiplicative,My Estimator,0.5180283581632006,0.354993279455033
State Name,True,0.05,multiplicative,MCNNM,0.0,0.20233465284954882
State Name,True,0.05,multiplicative,LinearDML,0.6035931180640883,0.669451549807993
State Name,True,0.05,multiplicative,DML,0.06361701230615806,0.05550986670750858
State Name,True,0.05,multiplicative,CausalForestDML,1.3892742861316323,0.3185872908952298
State Name,True,0.05,multiplicative,DRLearner,538.730790368183,2557.995223234098
State Name,True,0.05,multiplicative,ForestDRLearner,1.501767714576221,6.547967292145174
State Name,True,0.05,multiplicative,XLearner,0.42086471872974124,0.449405443331783
