Unit,Adaptive Treatment,Fraction Treated,Treatment Effect Function,Method,NMAE,NMAE Treated Only
County Name,True,0.05,additive,My Estimator,0.5355156694136781,0.2827918463305509
County Name,True,0.05,additive,MCNNM,0.0,0.5585845602931967
County Name,True,0.05,additive,LinearDML,0.24516391915927083,0.16391530425995832
County Name,True,0.05,additive,DML,0.09176372916929508,0.1184287674552879
County Name,True,0.05,additive,CausalForestDML,19.76828362996791,0.31353005557765895
County Name,True,0.05,additive,DRLearner,1763.7715111301984,5426.304807315877
County Name,True,0.05,additive,ForestDRLearner,0.7298484714932856,2.797560180189219
County Name,True,0.05,additive,XLearner,0.4689727146093786,0.4881004134363428
County Name,True,0.05,additive,Causal Forest (R),0.5086872365275814,0.13722039268051428
County Name,True,0.05,additive,My Estimator,0.5759446317226817,0.3240204969223676
County Name,True,0.05,additive,MCNNM,0.0,0.594491839249652
County Name,True,0.05,additive,LinearDML,0.12886601298699504,0.14471630239007013
County Name,True,0.05,additive,DML,0.2821001998688215,0.1594113589361327
County Name,True,0.05,additive,CausalForestDML,12.574727129776585,0.33012070522393944
County Name,True,0.05,additive,DRLearner,2505.5124065089435,9111.371407040695
County Name,True,0.05,additive,ForestDRLearner,1.6221607905657396,9.186049492559194
County Name,True,0.05,additive,XLearner,0.47300935036776853,0.5207958695887107
County Name,True,0.05,additive,Causal Forest (R),0.5441226148613252,0.14056979287739885
County Name,True,0.05,additive,My Estimator,0.4149719730198763,0.20129824085296072
County Name,True,0.05,additive,MCNNM,0.0,0.38576514500090026
County Name,True,0.05,additive,LinearDML,0.07905851649641088,0.08259878737858285
County Name,True,0.05,additive,DML,0.4751360248669226,0.20523922742951903
County Name,True,0.05,additive,CausalForestDML,13.848696823010453,0.22315940340913673
County Name,True,0.05,additive,DRLearner,2031.5317204292717,4329.529193810296
County Name,True,0.05,additive,ForestDRLearner,0.7154111151753274,2.175215777362034
County Name,True,0.05,additive,XLearner,0.40845803149007953,0.3422613433254228
County Name,True,0.05,additive,Causal Forest (R),0.3878622948325823,0.10696156944643626
County Name,True,0.05,additive,My Estimator,0.4158409586364165,0.15417151389287595
County Name,True,0.05,additive,MCNNM,0.0,0.3015396055731024
County Name,True,0.05,additive,LinearDML,0.08486153614117929,0.08071996859124539
County Name,True,0.05,additive,DML,0.29193662064110226,0.1409231878874645
County Name,True,0.05,additive,CausalForestDML,19.150385419076134,0.19228203338740307
County Name,True,0.05,additive,DRLearner,0.9603838400000045,1.128361485328556
County Name,True,0.05,additive,ForestDRLearner,1.4611959737135447,2.2461537274049737
County Name,True,0.05,additive,XLearner,0.4065097230000448,0.27023819191767595
County Name,True,0.05,additive,Causal Forest (R),0.3716080837719989,0.10719639527831867
County Name,False,0.05,additive,My Estimator,0.6752381377611376,0.49531411201304076
County Name,False,0.05,additive,MCNNM,0.0,0.5905968384983692
County Name,False,0.05,additive,LinearDML,0.706718537057013,0.5367785174126533
County Name,False,0.05,additive,DML,0.22509266288465465,0.24508383736223346
County Name,False,0.05,additive,CausalForestDML,3.2814397287158856,0.32944448006096283
County Name,False,0.05,additive,DRLearner,182.92187200539087,231.53084076698852
County Name,False,0.05,additive,ForestDRLearner,0.7882710270313441,4.526219036043587
County Name,False,0.05,additive,XLearner,0.4230044105208746,0.4011931304475622
County Name,False,0.05,additive,Causal Forest (R),0.3746737740898699,0.4653407977093673
