Unit,Adaptive Treatment,Fraction Treated,Treatment Effect Function,Method,NMAE,NMAE Treated Only
State Name,True,0.05,additive,My Estimator,0.4908131292951953,0.3258795035739372
State Name,True,0.05,additive,MCNNM,0.0,0.21512473404612822
State Name,True,0.05,additive,LinearDML,0.6438545264593744,0.6994023604829832
State Name,True,0.05,additive,DML,0.349052691534323,0.41264761297601266
State Name,True,0.05,additive,CausalForestDML,0.8151136149601423,0.3154523658245311
State Name,True,0.05,additive,DRLearner,1.1979474663090623,3.154886607944285
State Name,True,0.05,additive,ForestDRLearner,1.7995526853402584,7.600009956349259
State Name,True,0.05,additive,XLearner,0.3487625928478377,0.45450354959685635
State Name,True,0.05,additive,Causal Forest (R),0.5284956933251193,0.47590254265372667
State Name,True,0.05,additive,My Estimator,0.49060095823959554,0.3254771323526101
State Name,True,0.05,additive,MCNNM,0.0,0.2149511359693113
State Name,True,0.05,additive,LinearDML,1.8354894727111517,1.2515050326394346
State Name,True,0.05,additive,DML,0.9999999999999997,0.9999999999999996
State Name,True,0.05,additive,CausalForestDML,0.5513734325427319,0.36538868007181224
State Name,True,0.05,additive,DRLearner,191.11614192112376,764.7652139370199
State Name,True,0.05,additive,ForestDRLearner,6.420539178025565,43.271472241955124
State Name,True,0.05,additive,XLearner,0.3558478151314495,0.45638724528286473
State Name,True,0.05,additive,Causal Forest (R),0.524467053610905,0.503963150696436
State Name,True,0.05,additive,My Estimator,0.5370221359378807,0.381888738811506
State Name,True,0.05,additive,MCNNM,0.0,0.20337931961968225
State Name,True,0.05,additive,LinearDML,0.7836652894704536,0.581367941487916
State Name,True,0.05,additive,DML,0.3341323220758527,0.3746921605471257
State Name,True,0.05,additive,CausalForestDML,4.942888939987144,0.3778291507746535
State Name,True,0.05,additive,DRLearner,8872.615521650097,34111.9650897139
State Name,True,0.05,additive,ForestDRLearner,1.8963790365679287,7.335521656001901
State Name,True,0.05,additive,XLearner,0.44228908031624437,0.43070560709903405
State Name,True,0.05,additive,Causal Forest (R),0.5391411767669682,0.45348560204923505
State Name,True,0.05,additive,My Estimator,0.4868373483934953,0.31732700011411497
State Name,True,0.05,additive,MCNNM,0.0,0.21149788211455128
State Name,True,0.05,additive,LinearDML,2.029995719860083,1.397422046084589
State Name,True,0.05,additive,DML,0.17265610841210438,0.25097178583422236
State Name,True,0.05,additive,CausalForestDML,0.7301656336854756,0.38128123179969453
State Name,True,0.05,additive,DRLearner,0.8593809631873943,1.6951727426992051
State Name,True,0.05,additive,ForestDRLearner,3.4146702144482233,15.989873216919776
State Name,True,0.05,additive,XLearner,0.3429550942008162,0.4261697903721972
State Name,True,0.05,additive,Causal Forest (R),0.5258205555530838,0.47072503909344937
State Name,True,0.05,additive,My Estimator,0.5162835370316031,0.3522953636298661
State Name,True,0.05,additive,MCNNM,0.0,0.1843207191480591
State Name,True,0.05,additive,LinearDML,0.5186961268579928,0.564613995920182
State Name,True,0.05,additive,DML,0.26379759986201445,0.3232030474227215
State Name,True,0.05,additive,CausalForestDML,4.009952462608047,0.2861954651804347
State Name,True,0.05,additive,DRLearner,0.9100086214279379,1.481753441148974
State Name,True,0.05,additive,ForestDRLearner,1.421667165653679,4.5903006814232175
State Name,True,0.05,additive,XLearner,0.4532881992289429,0.38683307903414804
State Name,True,0.05,additive,Causal Forest (R),0.5158635407480708,0.40722519856617256
State Name,False,0.05,additive,My Estimator,0.9440770802766344,0.2940541664331122
State Name,False,0.05,additive,MCNNM,0.0,0.1203990352973782
State Name,False,0.05,additive,LinearDML,5.1756835141127135,0.552066421669762
State Name,False,0.05,additive,DML,0.44726807304144517,0.4472180819152853
State Name,False,0.05,additive,CausalForestDML,0.7141496472636545,0.3820376106645406
State Name,False,0.05,additive,DRLearner,1065.492184442003,1429.6041806996352
State Name,False,0.05,additive,ForestDRLearner,11.919215873597704,64.03624072385405
State Name,False,0.05,additive,XLearner,0.529733798380959,0.2986955173663978
State Name,False,0.05,additive,Causal Forest (R),0.6804514434619108,0.3460311521922018
State Name,False,0.05,additive,My Estimator,0.5415642965980412,0.165578487836631
State Name,False,0.05,additive,MCNNM,0.0,0.1884393938365729
State Name,False,0.05,additive,LinearDML,2.4689379346387974,0.4589567321704715
State Name,False,0.05,additive,DML,0.2484572944449648,0.29183047623348707
State Name,False,0.05,additive,CausalForestDML,0.5027705926964743,0.38910689796282205
State Name,False,0.05,additive,DRLearner,4959.227265388299,7506.491133824282
State Name,False,0.05,additive,ForestDRLearner,15.020146437602403,159.24463967707453
State Name,False,0.05,additive,XLearner,0.416809496573176,0.29496531336984055
State Name,False,0.05,additive,Causal Forest (R),0.5607329971658507,0.3392448707236806
State Name,False,0.05,additive,My Estimator,0.3405640233600525,0.16923725305655865
State Name,False,0.05,additive,MCNNM,0.0,1.0949892440968967
State Name,False,0.05,additive,LinearDML,3.0874493448882707,0.5975828216027272
State Name,False,0.05,additive,DML,0.8502764157260352,0.5681292478972507
State Name,False,0.05,additive,CausalForestDML,0.3829096151409579,0.2284580560437251
State Name,False,0.05,additive,DRLearner,1267.506593378839,1933.2036854917449
State Name,False,0.05,additive,ForestDRLearner,1024.8717649206606,4708.115072697518
State Name,False,0.05,additive,XLearner,0.4160480611820863,0.3611189839513357
State Name,False,0.05,additive,Causal Forest (R),0.6178098741441311,0.4698975663894715
State Name,False,0.05,additive,My Estimator,0.4821287869123617,0.0787921026618734
State Name,False,0.05,additive,MCNNM,0.0,0.20176595933346497
State Name,False,0.05,additive,LinearDML,1.697311063684686,0.3530318570368028
State Name,False,0.05,additive,DML,0.23666020014347283,0.22537975518612274
State Name,False,0.05,additive,CausalForestDML,1.197275999475396,0.6778797487903566
State Name,False,0.05,additive,DRLearner,634.698327424962,1275.550950979453
State Name,False,0.05,additive,ForestDRLearner,2.3711234756803976,13.335974295683803
State Name,False,0.05,additive,XLearner,0.7512880553446336,0.1707076263783646
State Name,False,0.05,additive,Causal Forest (R),0.6347870107431662,0.3889315309809168
State Name,False,0.05,additive,My Estimator,0.8317130790167271,1.0065578615314195
State Name,False,0.05,additive,MCNNM,0.0,0.12339877901178516
State Name,False,0.05,additive,LinearDML,2.59570696983505,0.46735780173766106
State Name,False,0.05,additive,DML,0.4767999515295097,0.24241806546653255
State Name,False,0.05,additive,CausalForestDML,0.9647199714760445,0.3863056662330413
State Name,False,0.05,additive,DRLearner,1.0061170583872983,0.5892177383862541
State Name,False,0.05,additive,ForestDRLearner,647.7335417417524,7060.971478737329
State Name,False,0.05,additive,XLearner,0.5769271037222571,0.26248812445519004
State Name,False,0.05,additive,Causal Forest (R),0.7460482008280855,0.32234198526630015
State Name,True,0.05,multiplicative,My Estimator,0.5329407935794543,0.39702823103252083
State Name,True,0.05,multiplicative,MCNNM,0.0,0.1990535546144698
State Name,True,0.05,multiplicative,LinearDML,0.5222250921067882,0.4037377357753359
State Name,True,0.05,multiplicative,DML,0.5249588069593928,0.5350869502012247
State Name,True,0.05,multiplicative,CausalForestDML,2.8355239541405597,0.43859679508927163
State Name,True,0.05,multiplicative,DRLearner,8.452844896480284,31.627758840241995
State Name,True,0.05,multiplicative,ForestDRLearner,6.588674070525739,45.02995082009979
State Name,True,0.05,multiplicative,XLearner,0.45309359293604756,0.4705283538441438
State Name,True,0.05,multiplicative,Causal Forest (R),0.5198438921949374,0.46107060250869586
State Name,True,0.05,multiplicative,My Estimator,0.07818311767992368,0.06967769615091478
State Name,True,0.05,multiplicative,MCNNM,0.0,0.06492521943600911
State Name,True,0.05,multiplicative,LinearDML,0.21270252650279062,0.08809779415798251
State Name,True,0.05,multiplicative,DML,0.37777662594413614,0.32105389707334314
State Name,True,0.05,multiplicative,CausalForestDML,0.35034986707519084,0.17227751872399072
State Name,True,0.05,multiplicative,DRLearner,1.2657421077937325,1.282831547359037
State Name,True,0.05,multiplicative,ForestDRLearner,2.1081156429324,4.128832834902879
State Name,True,0.05,multiplicative,XLearner,0.5933689113613809,0.16241980351825383
State Name,True,0.05,multiplicative,Causal Forest (R),0.26000821601440727,0.12066995169297991
State Name,True,0.05,multiplicative,My Estimator,0.7635452402546782,0.6791582883700843
