Unit,Adaptive Treatment,Fraction Treated,Treatment Effect Function,Method,NMAE,NMAE Treated Only,MSE,MSE Treated Only,Time Taken,Experiment ID,Estimated ATE,True ATE,Estimated ATT,True ATT
State Name,True,0.05,additive,DID,0.9704266671282319,0.2703596601029849,29728840403.15801,4071143337.3947344,0.015889406204223633,1b7720fb-7097-4857-8a46-6fa615c9c512,-6778.389675194478,-171542.5157051282,-198267.8979994385,-203371.02611436718
State Name,True,0.05,additive,DC-PR,0.9633850670979452,0.09662762043754661,29626662227.626827,1082431703.1077414,0.00794839859008789,1b7720fb-7097-4857-8a46-6fa615c9c512,-6451.286554636776,-171542.5157051282,-188700.13172312573,-203371.02611436718
State Name,True,0.05,additive,MC-NNM,1.0128911108070549,1.3180525682273985,34288113059.914185,137429868547.51294,0.9486484527587891,1b7720fb-7097-4857-8a46-6fa615c9c512,2211.3735780757534,-171542.5157051282,64682.67715871578,-203371.02611436718
State Name,True,0.05,additive,PaCE_1,0.2113498443609935,0.1711303904431273,1960577245.1988468,1963101101.5433068,0.33437442779541016,1b7720fb-7097-4857-8a46-6fa615c9c512,-189520.02830189132,-171542.5157051282,-189520.0283018913,-203371.02611436718
State Name,True,0.05,additive,PaCE_2,0.11848421874409104,0.10547348373950464,695298319.2037687,762173444.9376229,1.4754350185394287,1b7720fb-7097-4857-8a46-6fa615c9c512,-174559.17000198647,-171542.5157051282,-194881.851829622,-203371.02611436718
State Name,True,0.05,additive,PaCE_3,0.08820891045421385,0.095272046919789,447889579.11667234,705117786.276496,3.4292993545532227,1b7720fb-7097-4857-8a46-6fa615c9c512,-170216.39948779947,-171542.5157051282,-194973.95396637917,-203371.02611436718
State Name,True,0.05,additive,PaCE_4,0.07763454147146692,0.06948111754845075,366785466.0086192,397641021.71098137,7.22162938117981,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.4406197406,-171542.5157051282,-196309.95545643553,-203371.02611436718
State Name,True,0.05,additive,PaCE_5,0.07763454281939783,0.06948112637606228,366785472.48371077,397641152.0360437,8.75497579574585,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.43468306813,-171542.5157051282,-196309.94914910616,-203371.02611436718
State Name,True,0.05,additive,PaCE_6,0.07763454339703285,0.06948113011549119,366785474.3534752,397641204.5084319,9.150464057922363,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.4321497524,-171542.5157051282,-196309.94658465835,-203371.02611436718
State Name,True,0.05,additive,PaCE_7,0.07763454392160418,0.06948113349125969,366785475.63317025,397641250.5992558,9.486056089401245,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.429854168,-171542.5157051282,-196309.9443198329,-203371.02611436718
State Name,True,0.05,additive,PaCE_8,0.07763454439954612,0.06948113655183516,366785476.4852941,397641291.4216033,9.880504369735718,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.42776640863,-171542.5157051282,-196309.94230438565,-203371.02611436718
State Name,True,0.05,additive,PaCE_9,0.07763454483617335,0.06948113933653546,366785477.0290749,397641327.8390355,10.636509895324707,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.42586194444,-171542.5157051282,-196309.9404991028,-203371.02611436718
State Name,True,0.05,additive,PaCE_10,0.0776345452359318,0.06948114187765883,366785477.3518961,397641360.5278923,11.10024905204773,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.42412040016,-171542.5157051282,-196309.93887306846,-203371.02611436718
State Name,True,0.05,additive,PaCE_11,0.07763454560258704,0.06948114420207674,366785477.5177095,397641390.02347124,11.48055648803711,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.4225246389,-171542.5157051282,-196309.93740163773,-203371.02611436718
State Name,True,0.05,additive,PaCE_12,0.07763454593936576,0.069481146332426,366785477.5732243,397641416.754277,11.846251010894775,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.42106007255,-171542.5157051282,-196309.93606493075,-203371.02611436718
State Name,True,0.05,additive,PaCE_13,0.077634546249063,0.06948114828800556,366785477.5524704,397641441.06748897,12.192600727081299,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.41971414172,-171542.5157051282,-196309.93484671164,-203371.02611436718
State Name,True,0.05,additive,PaCE_14,0.07763454653412422,0.06948115008545519,366785477.48016,397641463.2479475,12.627808809280396,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.41847591984,-171542.5157051282,-196309.93373355147,-203371.02611436718
State Name,True,0.05,additive,PaCE_15,0.07763454679670725,0.06948115173927025,366785477.3741603,397641483.53232384,13.3333158493042,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.41733581087,-171542.5157051282,-196309.93271420218,-203371.02611436718
State Name,True,0.05,additive,PaCE_16,0.07763454703873145,0.06948115326219566,366785477.2473202,397641502.1197446,13.727558374404907,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.4162853175,-171542.5157051282,-196309.93177912635,-203371.02611436718
State Name,True,0.05,additive,PaCE_17,0.07763454726191504,0.06948115466552889,366785477.10881066,397641519.17977315,14.040429592132568,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.4153168604,-171542.5157051282,-196309.93092014262,-203371.02611436718
State Name,True,0.05,additive,PaCE_18,0.07763454746780499,0.0694811559593554,366785476.96511406,397641534.8584416,14.33933424949646,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.41442363735,-171542.5157051282,-196309.9301301572,-203371.02611436718
State Name,True,0.05,additive,PaCE_19,0.07763454765780059,0.06948115715273392,366785476.82075167,397641549.2828401,14.881319761276245,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.4135995112,-171542.5157051282,-196309.92940295863,-203371.02611436718
State Name,True,0.05,additive,PaCE_20,0.07763454783317274,0.06948115825384249,366785476.67881745,397641562.56460613,15.232074499130249,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.41283892075,-171542.5157051282,-196309.92873306107,-203371.02611436718
State Name,True,0.05,additive,PaCE_21,0.0776345479950793,0.06948115927009549,366785476.54137075,397641574.802621,15.616261005401611,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.41213680792,-171542.5157051282,-196309.92811558233,-203371.02611436718
State Name,True,0.05,additive,PaCE_22,0.07763454814457806,0.0694811602082394,366785476.4097264,397641586.0851046,16.063751935958862,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.41148855886,-171542.5157051282,-196309.92754614924,-203371.02611436718
State Name,True,0.05,additive,PaCE_23,0.07763454828263756,0.0694811610744306,366785476.2846637,397641596.49124366,16.410603284835815,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.4108899543,-171542.5157051282,-196309.9270208226,-203371.02611436718
State Name,True,0.05,additive,PaCE_24,0.0776345484101461,0.06948116187430038,366785476.16658247,397641606.0924907,16.761428594589233,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.4103371281,-171542.5157051282,-196309.926536038,-203371.02611436718
State Name,True,0.05,additive,PaCE_25,0.07763454852791965,0.06948116261300986,366785476.05561525,397641614.95359945,17.025572299957275,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.40982653206,-171542.5157051282,-196309.92608855705,-203371.02611436718
State Name,True,0.05,additive,PaCE_26,0.07763454863670848,0.06948116329529727,366785475.9517114,397641623.1334784,17.47227907180786,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.40935490522,-171542.5157051282,-196309.92567542836,-203371.02611436718
State Name,True,0.05,additive,PaCE_27,0.07763454873720331,0.06948116392551747,366785475.85469466,397641630.6858626,17.72892713546753,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.4089192475,-171542.5157051282,-196309.92529395496,-203371.02611436718
State Name,True,0.05,additive,PaCE_28,0.07763454883004023,0.06948116450767712,366785475.7643078,397641637.6598945,17.97957468032837,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.4085167968,-171542.5157051282,-196309.92494166733,-203371.02611436718
State Name,True,0.05,additive,PaCE_29,0.07763454891580575,0.06948116504546611,366785475.680243,397641644.10060745,18.246422052383423,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.40814500774,-171542.5157051282,-196309.92461629986,-203371.02611436718
State Name,True,0.05,additive,PaCE_30,0.07763454899504052,0.06948116554228446,366785475.6021645,397641650.0493332,18.519251585006714,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.4078015342,-171542.5157051282,-196309.92431577167,-203371.02611436718
State Name,True,0.05,additive,PaCE_31,0.07763454906824342,0.0694811660012667,366785475.5297236,397641655.5440562,18.775614976882935,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.40748421184,-171542.5157051282,-196309.9240381687,-203371.02611436718
State Name,True,0.05,additive,PaCE_32,0.07763454913587475,0.06948116642530468,366785475.4625705,397641660.6197288,19.149420499801636,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.40719104387,-171542.5157051282,-196309.92378172895,-203371.02611436718
State Name,True,0.05,additive,PaCE_33,0.07763454919835946,0.06948116681706572,366785475.40036154,397641665.3085264,19.39642834663391,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.40692018776,-171542.5157051282,-196309.92354482948,-203371.02611436718
State Name,True,0.05,additive,PaCE_34,0.07763454925608973,0.06948116717901204,366785475.3427626,397641669.64009714,19.62992262840271,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.40666994225,-171542.5157051282,-196309.92332597435,-203371.02611436718
State Name,True,0.05,additive,PaCE_35,0.07763454930942788,0.06948116751341686,366785475.289456,397641673.6417816,19.804563283920288,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.40643873677,-171542.5157051282,-196309.92312378372,-203371.02611436718
State Name,True,0.05,additive,PaCE_36,0.0776345493587083,0.06948116782237884,366785475.24013734,397641677.3387901,20.053070783615112,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.40622512085,-171542.5157051282,-196309.92293698492,-203371.02611436718
State Name,True,0.05,additive,PaCE_37,0.07763454940424,0.06948116810783578,366785475.19452137,397641680.7543845,20.2459979057312,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.4060277553,-171542.5157051282,-196309.9227644034,-203371.02611436718
State Name,True,0.05,additive,PaCE_38,0.07763454944630832,0.06948116837157763,366785475.1523387,397641683.9100349,20.45029616355896,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.40584540274,-171542.5157051282,-196309.92260495486,-203371.02611436718
State Name,True,0.05,additive,PaCE_39,0.07763454948517685,0.06948116861525744,366785475.113338,397641686.82556,20.668965578079224,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.4056769207,-171542.5157051282,-196309.92245763846,-203371.02611436718
State Name,True,0.05,additive,PaCE_40,0.07763454952108906,0.06948116884040206,366785475.07728386,397641689.5192565,20.806949615478516,1b7720fb-7097-4857-8a46-6fa615c9c512,-170660.40552125365,-171542.5157051282,-196309.92232153,-203371.02611436718
State Name,True,0.05,additive,LinearDML,1.8937163830996788,0.4025969075292159,461038156189.3158,9912462189.10611,1.8972411155700684,1b7720fb-7097-4857-8a46-6fa615c9c512,-123361.0450608417,-171542.5157051282,-193959.51360576553,-203371.02611436718
State Name,True,0.05,additive,DML,0.33774921448947187,0.19318091218141772,13732653320.917055,2258467895.3746333,1.422041654586792,1b7720fb-7097-4857-8a46-6fa615c9c512,-114795.42684441325,-171542.5157051282,-164083.6257783228,-203371.02611436718
State Name,True,0.05,additive,CausalForestDML,0.24265989404128102,0.17136611061174487,12850133212.607687,2390789641.908513,1.2722012996673584,1b7720fb-7097-4857-8a46-6fa615c9c512,-135264.68705555346,-171542.5157051282,-172268.08691544292,-203371.02611436718
State Name,True,0.05,additive,DRLearner,8.52074277263983,10.060605091475997,4489981654830.642,7794215310714.4795,3.5207207202911377,1b7720fb-7097-4857-8a46-6fa615c9c512,-823413.3673155046,-171542.5157051282,-1909422.1703650993,-203371.02611436718
State Name,True,0.05,additive,ForestDRLearner,2.4944935508933117,4.917727574168229,491623493392.8719,2238418601369.829,2.065653085708618,1b7720fb-7097-4857-8a46-6fa615c9c512,-588621.1425771678,-171542.5157051282,-1189520.7051078991,-203371.02611436718
State Name,True,0.05,additive,XLearner,0.5516126535320348,0.16334031900029108,20444861880.92018,5562118768.678004,0.8943400382995605,1b7720fb-7097-4857-8a46-6fa615c9c512,-253930.91316144966,-171542.5157051282,-216445.46886756044,-203371.02611436718
State Name,True,0.05,additive,DomainAdaptationLearner,2.506110977183648,0.1457517092382366,926667827128.644,5769992379.968648,1.4026334285736084,1b7720fb-7097-4857-8a46-6fa615c9c512,-561109.6224504112,-171542.5157051282,-218540.36749297747,-203371.02611436718
State Name,True,0.05,additive,SLearner,0.6769752519150505,0.23528338287570078,17624267008.330578,6909472322.5002575,1.6759278774261475,1b7720fb-7097-4857-8a46-6fa615c9c512,-71462.54920139999,-171542.5157051282,-160725.36540405336,-203371.02611436718
State Name,True,0.05,additive,TLearner,2.5421293858481127,0.19933869886372785,941087861936.0039,7335783712.676161,4.406828165054321,1b7720fb-7097-4857-8a46-6fa615c9c512,-574345.1585715367,-171542.5157051282,-223853.74624579583,-203371.02611436718
State Name,True,0.05,additive,Mean Effect,0.1847330340951747,0.1962379400000506,1637386286.0320718,2784305036.013129,0.0003921985626220703,1b7720fb-7097-4857-8a46-6fa615c9c512,-171542.5157051282,-171542.5157051282,-171542.5157051282,-203371.02611436718
State Name,True,0.05,additive,Median Effect,0.18353566714010935,0.2092532848365859,1660895821.4558961,3116466029.618702,0.00022602081298828125,1b7720fb-7097-4857-8a46-6fa615c9c512,-166693.8524435865,-171542.5157051282,-166693.8524435865,-203371.02611436718
State Name,True,0.05,additive,Causal Forest (R),0.2160745429571426,0.10901181614709361,1875860718.419933,850363182.6603026,13.738922595977783,1b7720fb-7097-4857-8a46-6fa615c9c512,-207553.71293268772,-171542.5157051282,-216419.52047405762,-203371.02611436718
State Name,True,0.05,additive,KRLS (R),1.0129766329482666,0.23951546565445736,38691811321.64921,6477058490.538414,33.77380418777466,1b7720fb-7097-4857-8a46-6fa615c9c512,-1524.6210885366045,-171542.5157051282,-211070.7751553497,-203371.02611436718
State Name,True,0.05,additive,NNEstimator,2.266398615932583,0.6664573877720875,492944736931.21765,24379287277.316277,1265.7191424369812,1b7720fb-7097-4857-8a46-6fa615c9c512,-498431.3125,-171542.5157051282,-159479.859375,-203371.02611436718
State Name,True,0.05,additive,DID,1.001054594898284,1.1071126816306431,71565833263.14363,4328304564.109555,0.03682994842529297,21fd5b2b-6909-4572-91eb-4e93c38b76dc,-1643.552387368043,-171542.51570512823,-48073.90733051525,-49401.759717545676
State Name,True,0.05,additive,DC-PR,1.0437019671972072,5.438704289810435,76132939499.1447,137916161967.14062,0.008129358291625977,21fd5b2b-6909-4572-91eb-4e93c38b76dc,7496.745394271942,-171542.51570512823,219279.80278245432,-49401.759717545676
State Name,True,0.05,additive,MC-NNM,1.0435768362777562,5.425995041587156,76116314083.08904,137429868547.51291,1.0066437721252441,21fd5b2b-6909-4572-91eb-4e93c38b76dc,7475.280121556831,-171542.51570512823,218651.9435555373,-49401.759717545676
State Name,True,0.05,additive,PaCE_1,0.9150534913207227,0.9395032300403593,63071459883.71798,5925891181.8409605,0.4129798412322998,21fd5b2b-6909-4572-91eb-4e93c38b76dc,-27281.870482296617,-171542.51570512823,-27281.870482296614,-49401.759717545676
State Name,True,0.05,additive,PaCE_2,0.7285545525804767,0.5910629761520765,46194111293.323235,3033810470.7167845,1.7043187618255615,21fd5b2b-6909-4572-91eb-4e93c38b76dc,-53004.85458803796,-171542.51570512823,-33337.62179403126,-49401.759717545676
