Unit,Adaptive Treatment,Fraction Treated,Treatment Effect Function,Method,NMAE,NMAE Treated Only,MSE,MSE Treated Only,Time Taken,Experiment ID,Estimated ATE,True ATE,Estimated ATT,True ATT
State Name,True,0.05,additive,MC-NNM (mine),0.9517339376989395,0.051892868253852927,34033998158.89674,480733282.5373541,0.003270864486694336,a9dd912b-a768-4ef6-a036-5c2e53f20a98,-8392.849073945423,-171542.5157051282,-245490.83541290363,-255435.99777629945
State Name,False,0.05,additive,MC-NNM (mine),0.9846814616848156,0.14349262033375765,71125710858.20221,478448915.9002222,0.006796836853027344,9d7560b1-8570-4fb4-915f-a8b8d828a366,-2669.438825631375,-171542.51570512823,-96099.79772272949,-110448.67076253245
State Name,True,0.05,multiplicative,MC-NNM (mine),0.98964583006821,0.20233465284954885,61246234045.77675,473511293.85449356,0.0033767223358154297,c8071bf4-ce1a-4ee2-bc07-345bad585c03,-1890.1375702171454,-171542.5157051282,-55286.5239288515,-65131.66914060067
State Name,False,0.05,multiplicative,MC-NNM (mine),0.9740476012386824,0.07161811680196194,30051832204.508217,202959183.9675677,0.0071108341217041016,b9244577-a5bd-4d40-a30b-fa60922f76e7,-4585.762556243658,-171542.51570512817,-165087.4520247717,-172633.51934817826
State Name,True,0.1,additive,MC-NNM (mine),0.9851310581628504,0.2170108804680747,63121051465.50933,525639246.54703933,0.0036020278930664062,7ddc6333-3a7e-4c91-b00d-f5960d909ec6,-2748.7004427248544,-171542.5157051282,-53599.658633134655,-63522.95924339459
State Name,False,0.1,additive,MC-NNM (mine),0.9346369891438226,0.11954462445336783,61933398999.83943,2201725146.7290845,0.019748926162719727,f3cbfd86-e512-4695-a5dd-d119cbb32379,-12411.637980164383,-171542.5157051282,-242026.94061320546,-248331.0849600917
State Name,True,0.1,multiplicative,MC-NNM (mine),0.9841328650324475,0.20618826211318883,64622131246.57834,525755603.6363299,0.003838062286376953,e0108adf-e273-4310-9da9-ba504d778672,-2919.9317387186316,-171542.5157051282,-56938.66890501332,-66863.23510905402
State Name,False,0.1,multiplicative,MC-NNM (mine),0.9537547636965568,0.1942889744403637,59295805743.86985,6190831326.91521,0.01544809341430664,7eda2774-94cb-4543-a45b-c4a212754368,-8272.23198203326,-171542.5157051282,-154856.1827036626,-184316.96705457298
State Name,True,0.25,additive,MC-NNM (mine),0.9458784196052353,0.17012554585858675,56304626845.87623,827780928.0950996,0.009717941284179688,2ce6af45-4fac-4bc6-8c52-b627ff7d68bb,-10098.77224292403,-171542.5157051282,-84396.88231586509,-93494.84689239583
State Name,False,0.25,additive,MC-NNM (mine),0.9153743191028536,0.38506768625557086,60552351749.91094,55114981504.71236,0.01889491081237793,1be593d4-916d-4615-8e22-e0be2cd4ccaa,-15491.939294478983,-171542.5157051282,-133031.69889570947,-202719.71477295845
