Unit,Adaptive Treatment,Fraction Treated,Treatment Effect Function,Method,NMAE,NMAE Treated Only,MSE,MSE Treated Only,Time Taken,Experiment ID,Estimated ATE,True ATE,Estimated ATT,True ATT
State Name,True,0.05,additive,DID,0.9632534649624882,0.256262374700995,33210115591.173065,5379491523.700421,0.023436546325683594,03430900-6157-420f-a8a4-50297ef417a5,-8089.620282911113,-171542.5157051282,-236621.39327515,-247910.13772024825
State Name,True,0.05,additive,DC-PR,0.9565716060354555,0.12102377639775318,33086018070.550106,1749639045.4788344,0.013241052627563477,03430900-6157-420f-a8a4-50297ef417a5,-7795.149338323514,-171542.5157051282,-228008.1181459628,-247910.13772024825
State Name,True,0.05,additive,MC-NNM,1.0040145669133884,1.0812534966825984,37724658395.40597,137429868547.51294,0.7753424644470215,03430900-6157-420f-a8a4-50297ef417a5,688.668907789221,-171542.5157051282,20143.565552834716,-247910.13772024825
State Name,True,0.05,additive,PaCE_1,0.3477050868977414,0.3529412329586894,6198867053.770819,19155746306.680546,0.23432326316833496,03430900-6157-420f-a8a4-50297ef417a5,-176024.9174532125,-171542.5157051282,-176024.9174532125,-247910.13772024825
State Name,True,0.05,additive,PaCE_2,0.29088490337676376,0.1916218979993508,3465376923.6297545,4552203885.499159,1.491811752319336,03430900-6157-420f-a8a4-50297ef417a5,-185819.18182104322,-171542.5157051282,-222413.7093095927,-247910.13772024825
State Name,True,0.05,additive,PaCE_3,0.2313133314968759,0.16089840871645295,2222942854.4019313,3209744688.5460587,3.0014126300811768,03430900-6157-420f-a8a4-50297ef417a5,-183090.23925959447,-171542.5157051282,-228193.83231086985,-247910.13772024825
State Name,True,0.05,additive,PaCE_4,0.1966594916912629,0.15049842289359042,1755288577.5078316,3087357128.811795,7.394503593444824,03430900-6157-420f-a8a4-50297ef417a5,-175624.00122308737,-171542.5157051282,-228338.21965511466,-247910.13772024825
State Name,True,0.05,additive,PaCE_5,0.19665950946534422,0.1504984136707285,1755288654.40479,3087356451.1306834,11.224096775054932,03430900-6157-420f-a8a4-50297ef417a5,-175624.01370093538,-171542.5157051282,-228338.2329319335,-247910.13772024825
State Name,True,0.05,additive,PaCE_6,0.1966595171276314,0.15049840969479208,1755288687.5544927,3087356158.9836025,11.858785152435303,03430900-6157-420f-a8a4-50297ef417a5,-175624.01908005666,-171542.5157051282,-228338.23865552153,-247910.13772024825
State Name,True,0.05,additive,PaCE_7,0.19665952407425655,0.15049840609020113,1755288717.6079803,3087355894.1219006,12.311941623687744,03430900-6157-420f-a8a4-50297ef417a5,-175624.02395676693,-171542.5157051282,-228338.24384453977,-247910.13772024825
State Name,True,0.05,additive,PaCE_8,0.19665953037206366,0.150498402822274,1755288744.854453,3087355653.9974813,12.953029155731201,03430900-6157-420f-a8a4-50297ef417a5,-175624.02837799187,-171542.5157051282,-228338.24854891302,-247910.13772024825
State Name,True,0.05,additive,PaCE_9,0.1966595360816532,0.15049839985956764,1755288769.5560966,3087355436.300121,13.725049257278442,03430900-6157-420f-a8a4-50297ef417a5,-175624.03238627416,-171542.5157051282,-228338.2528139045,-247910.13772024825
State Name,True,0.05,additive,PaCE_10,0.19665954125796517,0.15049839717357558,1755288791.950601,3087355238.9353056,14.295909643173218,03430900-6157-420f-a8a4-50297ef417a5,-175624.03602018263,-171542.5157051282,-228338.2566805504,-247910.13772024825
State Name,True,0.05,additive,PaCE_11,0.1966595459508082,0.1504983947384533,1755288812.2534585,3087355060.0040936,14.791783094406128,03430900-6157-420f-a8a4-50297ef417a5,-175624.03931468388,-171542.5157051282,-228338.26018605492,-247910.13772024825
State Name,True,0.05,additive,PaCE_12,0.19665955020533873,0.1504983925307702,1755288830.6600316,3087354897.7848816,15.429861783981323,03430900-6157-420f-a8a4-50297ef417a5,-175624.04230147868,-171542.5157051282,-228338.26336414763,-247910.13772024825
State Name,True,0.05,additive,PaCE_13,0.1966595540624949,0.1504983905292836,1755288847.3474295,3087354750.716799,15.997507810592651,03430900-6157-420f-a8a4-50297ef417a5,-175624.0450093068,-171542.5157051282,-228338.2662454084,-247910.13772024825
State Name,True,0.05,additive,PaCE_14,0.1966595575593925,0.15049838871473525,1755288862.476232,3087354617.3847976,16.512447595596313,03430900-6157-420f-a8a4-50297ef417a5,-175624.04746422387,-171542.5157051282,-228338.26885756038,-247910.13772024825
State Name,True,0.05,additive,PaCE_15,0.19665956072967927,0.15049838706966534,1755288876.1920075,3087354496.505952,17.071885108947754,03430900-6157-420f-a8a4-50297ef417a5,-175624.04968985158,-171542.5157051282,-228338.27122573814,-247910.13772024825
State Name,True,0.05,additive,PaCE_16,0.1966595636038607,0.1504983855782444,1755288888.6267295,3087354386.9171314,17.47292685508728,03430900-6157-420f-a8a4-50297ef417a5,-175624.05170760574,-171542.5157051282,-228338.27337272896,-247910.13772024825
State Name,True,0.05,additive,PaCE_17,0.19665956620959332,0.150498384226122,1755288899.9000525,3087354287.5638843,17.91364574432373,03430900-6157-420f-a8a4-50297ef417a5,-175624.0535369017,-171542.5157051282,-228338.27531919122,-247910.13772024825
State Name,True,0.05,additive,PaCE_18,0.19665956857195047,0.15049838300028753,1755288910.120451,3087354197.4902062,18.564624071121216,03430900-6157-420f-a8a4-50297ef417a5,-175624.05519534144,-171542.5157051282,-228338.2770838543,-247910.13772024825
State Name,True,0.05,additive,PaCE_19,0.19665957071366316,0.1504983818889458,1755288919.3862648,3087354115.8293786,19.276467323303223,03430900-6157-420f-a8a4-50297ef417a5,-175624.05669888292,-171542.5157051282,-228338.27868369824,-247910.13772024825
State Name,True,0.05,additive,PaCE_20,0.19665957265533976,0.15049838088140324,1755288927.7866545,3087354041.7956705,19.824824810028076,03430900-6157-420f-a8a4-50297ef417a5,-175624.05806199368,-171542.5157051282,-228338.28013411688,-247910.13772024825
State Name,True,0.05,additive,PaCE_21,0.1966595744156634,0.1504983799679651,1755288935.4024465,3087353974.6766977,20.349106311798096,03430900-6157-420f-a8a4-50297ef417a5,-175624.05929778988,-171542.5157051282,-228338.28144906665,-247910.13772024825
State Name,True,0.05,additive,PaCE_22,0.19665957601157327,0.15049837913984204,1755288942.30693,3087353913.826638,21.23592495918274,03430900-6157-420f-a8a4-50297ef417a5,-175624.06041816284,-171542.5157051282,-228338.28264120017,-247910.13772024825
