Unit,Adaptive Treatment,Fraction Treated,Treatment Effect Function,Method,NMAE,NMAE Treated Only
County Name,True,0.05,additive,My Estimator,0.12930406278071238,0.10196438268330338
County Name,True,0.05,additive,MCNNM,0.0,0.20628084418897433
County Name,True,0.05,additive,LinearDML,0.9845054077402605,0.13463786916745552
County Name,True,0.05,additive,DML,0.13038110256649785,0.14091131468808235
County Name,True,0.05,additive,CausalForestDML,14.816817174300395,0.17234386874680507
County Name,True,0.05,additive,DRLearner,1.8935011122091805,1.481445082465799
County Name,True,0.05,additive,ForestDRLearner,0.42418604494845485,1.0611904382110782
County Name,True,0.05,additive,XLearner,0.3007399066445304,0.18064403900092837
County Name,True,0.05,additive,Causal Forest (R),0.10004197296392289,0.07477475949233539
County Name,True,0.05,additive,My Estimator,0.3756653560626779,0.15921402583556055
County Name,True,0.05,additive,MCNNM,0.0,0.28346853618438683
County Name,True,0.05,additive,LinearDML,0.5838990540934375,0.1523464189483737
County Name,True,0.05,additive,DML,0.16693613920627468,0.1498219064470385
County Name,True,0.05,additive,CausalForestDML,19.79023115704896,0.19993287259467318
County Name,True,0.05,additive,DRLearner,2031.0262639562736,3300.3803067432113
County Name,True,0.05,additive,ForestDRLearner,0.7773100679661151,2.2090781400712305
County Name,True,0.05,additive,XLearner,0.3471678939293156,0.24905929480746333
County Name,True,0.05,additive,Causal Forest (R),0.30180875711950833,0.09510198519055688
County Name,True,0.05,additive,My Estimator,0.653292907808658,0.36141832694277737
County Name,True,0.05,additive,MCNNM,0.0,0.6004522998585973
County Name,True,0.05,additive,LinearDML,0.9113459052777209,0.44329431187046553
County Name,True,0.05,additive,DML,0.16470330029805147,0.1614357685031337
County Name,True,0.05,additive,CausalForestDML,24.72215030956975,0.3411217720095761
County Name,True,0.05,additive,DRLearner,1.6377777266169868,4.17559008702937
County Name,True,0.05,additive,ForestDRLearner,0.827387897488862,3.411230864641536
County Name,True,0.05,additive,XLearner,0.43856671885791687,0.524660242149871
County Name,True,0.05,additive,Causal Forest (R),0.5432513152664256,0.14950512565395355
County Name,True,0.05,additive,My Estimator,0.13027941304095533,0.10511014443864072
County Name,True,0.05,additive,MCNNM,0.0,0.210003589056502
County Name,True,0.05,additive,LinearDML,0.12067037503517841,0.059425361671741284
County Name,True,0.05,additive,DML,0.39563172244704753,0.1251147810438026
County Name,True,0.05,additive,CausalForestDML,11.2151548037771,0.15809480919963054
County Name,True,0.05,additive,DRLearner,1.5855150946406988,1.3821911254577428
County Name,True,0.05,additive,ForestDRLearner,0.6149204911389284,1.688435841498975
County Name,True,0.05,additive,XLearner,0.32717464857877615,0.18835707840137134
County Name,True,0.05,additive,Causal Forest (R),0.10586886719000502,0.08078894672287491
County Name,False,0.05,additive,My Estimator,0.3514781873167075,0.24608899085793776
County Name,False,0.05,additive,MCNNM,0.0,0.4749013726189969
County Name,False,0.05,additive,LinearDML,0.9485880795359166,0.621866721837773
County Name,False,0.05,additive,DML,0.08447258315393079,0.08664093836741554
County Name,False,0.05,additive,CausalForestDML,0.925800840391152,0.3480683129103193
County Name,False,0.05,additive,DRLearner,504.58674966267614,528.6998889555118
County Name,False,0.05,additive,ForestDRLearner,0.5859954989272617,1.9154058292521419
County Name,False,0.05,additive,XLearner,0.38173601783070576,0.4235407142343096
County Name,False,0.05,additive,Causal Forest (R),0.32563119949523506,0.27032558870963014
County Name,False,0.05,additive,My Estimator,0.14693164572030687,0.14823710835570977
County Name,False,0.05,additive,MCNNM,0.0,0.6368266897219252
County Name,False,0.05,additive,LinearDML,1.0117238528472805,0.8021441086031251
County Name,False,0.05,additive,DML,0.4822869067494407,0.4543318463666872
County Name,False,0.05,additive,CausalForestDML,1.1263640722514388,0.4447876189247688
County Name,False,0.05,additive,DRLearner,888.6602689544163,1283.315879011659
County Name,False,0.05,additive,ForestDRLearner,2.2966917717688817,5.917890636528366
County Name,False,0.05,additive,XLearner,0.31305061856528366,0.7811992154927717
County Name,False,0.05,additive,Causal Forest (R),0.20737544438892497,0.30722963523572666
County Name,False,0.05,additive,My Estimator,0.14550970830820317,0.12854161604459313
County Name,False,0.05,additive,MCNNM,0.0,0.280215805383678
County Name,False,0.05,additive,LinearDML,0.7635171208173821,0.3376539351528017
County Name,False,0.05,additive,DML,0.4449084914540611,0.46953796571101986
County Name,False,0.05,additive,CausalForestDML,6.312819605780975,0.35906615419345234
County Name,False,0.05,additive,DRLearner,604.8907652833873,697.0232249749554
County Name,False,0.05,additive,ForestDRLearner,0.9747058301131494,6.2924274974779495
County Name,False,0.05,additive,XLearner,0.4256515188292845,0.3058193879682094
County Name,False,0.05,additive,Causal Forest (R),0.277208168205959,0.28157068976350624
County Name,False,0.05,additive,My Estimator,0.44273395741638666,0.38449889722453723
County Name,False,0.05,additive,MCNNM,0.0,0.6485762330778008
County Name,False,0.05,additive,LinearDML,0.6588145058471979,0.46159978631601384
County Name,False,0.05,additive,DML,0.3725644099421532,0.3743278997413705
County Name,False,0.05,additive,CausalForestDML,0.6696619302231052,0.33436620540723005
County Name,False,0.05,additive,DRLearner,744.6076510781268,821.5339807885573
County Name,False,0.05,additive,ForestDRLearner,0.5798630162552683,3.1611465366917346
County Name,False,0.05,additive,XLearner,0.27279653978653085,0.350255851324415
County Name,False,0.05,additive,Causal Forest (R),0.24677498398271405,0.2768906550258356
County Name,True,0.05,multiplicative,My Estimator,0.4882818617965758,0.27638080415980437
County Name,True,0.05,multiplicative,MCNNM,0.0,0.4875339760090551
County Name,True,0.05,multiplicative,LinearDML,0.19331651806564076,0.13595100761043094
County Name,True,0.05,multiplicative,DML,0.23616492400751868,0.1746229763962963
County Name,True,0.05,multiplicative,CausalForestDML,18.611312618433615,0.2945830775837449
County Name,True,0.05,multiplicative,DRLearner,1.2306645000173502,2.6490180575641706
County Name,True,0.05,multiplicative,ForestDRLearner,0.707516342399734,2.6007875840082226
County Name,True,0.05,multiplicative,XLearner,0.4526681142820259,0.4498369543905897
County Name,True,0.05,multiplicative,Causal Forest (R),0.4600074977004534,0.14817249072471164
County Name,True,0.05,multiplicative,My Estimator,0.0950982994022532,0.07744372368759618
County Name,True,0.05,multiplicative,MCNNM,0.0,0.21238201108534166
County Name,True,0.05,multiplicative,LinearDML,0.1508316980667101,0.05913701645662658
County Name,True,0.05,multiplicative,DML,0.47166148868053587,0.22893833677006697
County Name,True,0.05,multiplicative,CausalForestDML,14.67574404644585,0.13867684656914975
County Name,True,0.05,multiplicative,DRLearner,1.6333531689939058,1.3578298652299168
County Name,True,0.05,multiplicative,ForestDRLearner,292.71147949164623,44.99425236351527
County Name,True,0.05,multiplicative,XLearner,0.3842838152575949,0.1911071522448455
County Name,True,0.05,multiplicative,Causal Forest (R),0.0726529890379158,0.055223242301345406
County Name,True,0.05,multiplicative,My Estimator,0.5806929810721484,0.3008186493662323
County Name,True,0.05,multiplicative,MCNNM,0.0,0.5755474885164843
County Name,True,0.05,multiplicative,LinearDML,0.17051423550920358,0.1535869353169546
County Name,True,0.05,multiplicative,DML,0.1271236272872113,0.1411635148323223
County Name,True,0.05,multiplicative,CausalForestDML,12.698242166503373,0.33202982281004884
County Name,True,0.05,multiplicative,DRLearner,2.6626028917755447,6.530257707735501
County Name,True,0.05,multiplicative,ForestDRLearner,0.742794955350433,2.492348858551269
County Name,True,0.05,multiplicative,XLearner,0.46973056909509464,0.49144345964257696
County Name,True,0.05,multiplicative,Causal Forest (R),0.5385157083826633,0.14347177822740556
County Name,True,0.05,multiplicative,My Estimator,0.5787931593039963,0.32672237913218377
County Name,True,0.05,multiplicative,MCNNM,0.0,0.5731054331310821
County Name,True,0.05,multiplicative,LinearDML,1.228506869020522,0.5293632257604483
County Name,True,0.05,multiplicative,DML,0.19108026178966336,0.17213489126717588
County Name,True,0.05,multiplicative,CausalForestDML,26.712226112956046,0.3522073416086485
County Name,True,0.05,multiplicative,DRLearner,2.729501541198283,8.297540693724741
