Unit,Adaptive Treatment,Fraction Treated,Treatment Effect Function,Method,NMAE,NMAE Treated Only
State Name,True,0.05,additive,My Estimator,0.5311149496189007,0.3727719395508381
State Name,True,0.05,additive,MCNNM,0.0,0.203113483156961
State Name,True,0.05,additive,LinearDML,0.8919554521879282,0.5551285879533291
State Name,True,0.05,additive,DML,0.10760879250052695,0.10614662717038972
State Name,True,0.05,additive,CausalForestDML,0.9417691022351956,0.2855185308623455
State Name,True,0.05,additive,DRLearner,10117.545656076492,40420.87061069885
State Name,True,0.05,additive,ForestDRLearner,7.591921086559661,40.056266116143995
State Name,True,0.05,additive,XLearner,0.4269014514428152,0.4758669987601724
State Name,True,0.05,additive,Causal Forest (R),0.5491099224963731,0.464212259011037
State Name,True,0.05,additive,My Estimator,0.5107963030143912,0.340802151167048
State Name,True,0.05,additive,MCNNM,0.0,0.19728698731524738
State Name,True,0.05,additive,LinearDML,0.3833322585192566,0.7041112616264471
State Name,True,0.05,additive,DML,0.4380016825075316,0.45485239176402315
State Name,True,0.05,additive,CausalForestDML,0.6958953950577978,0.33514313029129444
State Name,True,0.05,additive,DRLearner,29.69366847538149,109.00889319979301
State Name,True,0.05,additive,ForestDRLearner,3.3358568145273173,20.726244568566674
State Name,True,0.05,additive,XLearner,0.43257133119525953,0.4578652751766908
State Name,True,0.05,additive,Causal Forest (R),0.5216490950180362,0.4571545092246256
State Name,True,0.05,additive,My Estimator,0.4706775546222008,0.29246281762486886
State Name,True,0.05,additive,MCNNM,0.0,0.18651003833439728
State Name,True,0.05,additive,LinearDML,1.783272757595551,1.0862215913801985
State Name,True,0.05,additive,DML,0.374704208581258,0.34822542736657824
State Name,True,0.05,additive,CausalForestDML,0.845665911587605,0.36170305033406563
State Name,True,0.05,additive,DRLearner,5849.524531955437,15781.188036906422
State Name,True,0.05,additive,ForestDRLearner,4.855075119623122,20.83918248113529
State Name,True,0.05,additive,XLearner,0.3410122796994338,0.3842812760999398
State Name,True,0.05,additive,Causal Forest (R),0.497704591863456,0.39741447043985484
State Name,True,0.05,additive,My Estimator,0.5181800223130265,0.3733929558425717
State Name,True,0.05,additive,MCNNM,0.0,0.2081222959482291
State Name,True,0.05,additive,LinearDML,1.4400691674810826,1.121234829993025
State Name,True,0.05,additive,DML,0.23874318224252503,0.3888583665961146
State Name,True,0.05,additive,CausalForestDML,0.9163247880017541,0.3492363489975511
State Name,True,0.05,additive,DRLearner,171.24723853253232,664.2399816050686
State Name,True,0.05,additive,ForestDRLearner,1.2650129359839424,4.477711011379339
State Name,True,0.05,additive,XLearner,0.41064577802514923,0.4503353302833722
State Name,True,0.05,additive,Causal Forest (R),0.5375097669852915,0.4741549513001015
State Name,False,0.05,additive,My Estimator,0.17421377969573884,0.1131737634148246
State Name,False,0.05,additive,MCNNM,0.0,0.07575442507686304
State Name,False,0.05,additive,LinearDML,6.011066234889743,0.3532295690903016
State Name,False,0.05,additive,DML,13.427474974875237,0.376127206287236
State Name,False,0.05,additive,CausalForestDML,0.22058427373333353,0.15780530039755494
State Name,False,0.05,additive,DRLearner,1523.742483588462,3758.0832732831914
State Name,False,0.05,additive,ForestDRLearner,39.70528394562384,288.9107525130223
State Name,False,0.05,additive,XLearner,0.2017219574638453,0.11261856911157982
State Name,False,0.05,additive,Causal Forest (R),0.20939639070153154,0.13289753260190995
State Name,False,0.05,additive,My Estimator,0.3091873199793348,0.15945138601630732
State Name,False,0.05,additive,MCNNM,0.0,0.04123130947245171
State Name,False,0.05,additive,LinearDML,2.032660346502063,0.31812924692129324
State Name,False,0.05,additive,DML,0.675569033546622,0.7765095212188012
State Name,False,0.05,additive,CausalForestDML,1.1892053394126303,0.29080586277039666
