Unit,Adaptive Treatment,Fraction Treated,Treatment Effect Function,Method,NMAE,NMAE Treated Only
County Name,True,0.05,additive,My Estimator,0.5500478242389442,0.24903460783495623
County Name,True,0.05,additive,MCNNM,0.0,0.4323896459130594
County Name,True,0.05,additive,LinearDML,0.17663403004991662,0.11021553359948537
County Name,True,0.05,additive,DML,0.2585522343244235,0.2022196389526091
County Name,True,0.05,additive,CausalForestDML,21.19883138134056,0.2449823945675599
County Name,True,0.05,additive,DRLearner,1.18556103563493,2.285336441828432
County Name,True,0.05,additive,ForestDRLearner,0.5842012514614545,1.7295962383025303
County Name,True,0.05,additive,XLearner,0.40199693456257013,0.38196766940459237
County Name,True,0.05,additive,Causal Forest (R),0.4490838303421814,0.10506503771028276
County Name,True,0.05,additive,My Estimator,0.0802739598042474,0.08202176162815313
County Name,True,0.05,additive,MCNNM,0.0,0.20187314992368044
County Name,True,0.05,additive,LinearDML,0.1388297948000795,0.05390784948444943
County Name,True,0.05,additive,DML,0.5174309931064455,0.17108878114277803
County Name,True,0.05,additive,CausalForestDML,8.341441477599478,0.13419756845476452
County Name,True,0.05,additive,DRLearner,0.6581702386691104,0.57239250400173
County Name,True,0.05,additive,ForestDRLearner,6.332293634427701,7.479820668028026
County Name,True,0.05,additive,XLearner,0.3826032312280207,0.18737092812459957
County Name,True,0.05,additive,Causal Forest (R),0.0884449914870844,0.06135345084404178
County Name,True,0.05,additive,My Estimator,0.48973760179432135,0.27785573126791424
County Name,True,0.05,additive,MCNNM,0.0,0.5015897503558169
County Name,True,0.05,additive,LinearDML,0.9382432497572867,0.408440123698641
County Name,True,0.05,additive,DML,0.254367628527101,0.19597372984791386
County Name,True,0.05,additive,CausalForestDML,9.505529843958652,0.28744072345948335
County Name,True,0.05,additive,DRLearner,2.0801066896264584,4.34078095365603
County Name,True,0.05,additive,ForestDRLearner,0.6724029461188414,2.5567023555129413
County Name,True,0.05,additive,XLearner,0.44594369081151264,0.4519384746940583
County Name,True,0.05,additive,Causal Forest (R),0.4478114270116372,0.1379338526631167
County Name,True,0.05,additive,My Estimator,0.09343078490118392,0.07793144154523467
County Name,True,0.05,additive,MCNNM,0.0,0.20882564501803286
County Name,True,0.05,additive,LinearDML,0.33078669179285136,0.06888752502188179
County Name,True,0.05,additive,DML,0.5132371945865167,0.15158540720788388
County Name,True,0.05,additive,CausalForestDML,13.098919255847715,0.14781476037320884
County Name,True,0.05,additive,DRLearner,1388.1637171322266,1491.2628016008405
County Name,True,0.05,additive,ForestDRLearner,0.4984951779417626,1.3057257288978503
County Name,True,0.05,additive,XLearner,0.33495887524803564,0.18436984503059373
County Name,True,0.05,additive,Causal Forest (R),0.10188440167401674,0.07574580808199025
County Name,False,0.05,additive,My Estimator,0.167510910778131,0.1559702491715641
County Name,False,0.05,additive,MCNNM,0.0,0.3534524872710604
County Name,False,0.05,additive,LinearDML,0.39506588134247933,0.31045616538321325
County Name,False,0.05,additive,DML,0.2730717107595131,0.23345768596143088
County Name,False,0.05,additive,CausalForestDML,1.1204634366725876,0.2764374971636262
County Name,False,0.05,additive,DRLearner,2584.803633469657,2445.4493112262207
County Name,False,0.05,additive,ForestDRLearner,0.9790240478980939,4.451879142877008
County Name,False,0.05,additive,XLearner,0.45441800919449993,0.32430612420160165
County Name,False,0.05,additive,Causal Forest (R),0.20840085204653108,0.23202834466720462
County Name,False,0.05,additive,My Estimator,0.26459289585262785,0.2415178550224196
County Name,False,0.05,additive,MCNNM,0.0,0.5772545247396269
County Name,False,0.05,additive,LinearDML,0.7376959998079251,0.6660309184410212
County Name,False,0.05,additive,DML,0.26250264128123807,0.21770977910923578
County Name,False,0.05,additive,CausalForestDML,0.5389121971382451,0.37426308767831595
County Name,False,0.05,additive,DRLearner,289.7418326302867,290.1278624285369
County Name,False,0.05,additive,ForestDRLearner,0.5589600115548885,2.601529544219419
County Name,False,0.05,additive,XLearner,0.3865699652221743,0.669040318908778
County Name,False,0.05,additive,Causal Forest (R),0.2561277350359293,0.3073753273220347
County Name,False,0.05,additive,My Estimator,0.4817256645504922,0.4592841264373847
County Name,False,0.05,additive,MCNNM,0.0,0.4618060622512908
County Name,False,0.05,additive,LinearDML,0.5600231766210193,0.5201442013302799
County Name,False,0.05,additive,DML,1.0,1.0
County Name,False,0.05,additive,CausalForestDML,0.7805408164490477,0.3835151991559045
County Name,False,0.05,additive,DRLearner,669.2738093268382,677.5034174015597
County Name,False,0.05,additive,ForestDRLearner,1.5563181107413306,4.75388807208977
County Name,False,0.05,additive,XLearner,0.39739643489143434,0.5732701696910574
County Name,False,0.05,additive,Causal Forest (R),0.36554527345731563,0.2935514506047676
County Name,False,0.05,additive,My Estimator,0.5155106126697538,0.22988780278445783
County Name,False,0.05,additive,MCNNM,0.0,0.47954499231151326
County Name,False,0.05,additive,LinearDML,1.217033759388124,0.6349941578866161
County Name,False,0.05,additive,DML,0.2851520055461286,0.2851778194618651
County Name,False,0.05,additive,CausalForestDML,1.7751608609283671,0.46013989954995627
County Name,False,0.05,additive,DRLearner,223.2727987511011,211.764783901581
County Name,False,0.05,additive,ForestDRLearner,0.6932026383413731,1.9707733388386215
County Name,False,0.05,additive,XLearner,0.4164814105312731,0.5796696733955452
County Name,False,0.05,additive,Causal Forest (R),0.32571603737724075,0.2943636636599898
County Name,True,0.05,multiplicative,My Estimator,0.1929903234588382,0.15464773961134812
County Name,True,0.05,multiplicative,MCNNM,0.0,0.19886395399083542
County Name,True,0.05,multiplicative,LinearDML,0.3442378424005164,0.09731732430691672
County Name,True,0.05,multiplicative,DML,0.3746022064058854,0.19910326525913766
County Name,True,0.05,multiplicative,CausalForestDML,10.710389401586179,0.15571362485023263
County Name,True,0.05,multiplicative,DRLearner,1.5279216178610882,1.2706084951249819
County Name,True,0.05,multiplicative,ForestDRLearner,0.5077762735079411,1.142152058920748
County Name,True,0.05,multiplicative,XLearner,0.318768132932683,0.1918102417208562
County Name,True,0.05,multiplicative,Causal Forest (R),0.15673837945640345,0.10885257931073707
County Name,True,0.05,multiplicative,My Estimator,0.6900590500103218,0.38777697078596757
County Name,True,0.05,multiplicative,MCNNM,0.0,0.570335967435301
County Name,True,0.05,multiplicative,LinearDML,0.4735843461337872,0.2212790249666455
County Name,True,0.05,multiplicative,DML,0.47788332420988483,0.28879688086022215
County Name,True,0.05,multiplicative,CausalForestDML,28.96722545057644,0.3444910625538899
County Name,True,0.05,multiplicative,DRLearner,2.334846374483749,5.34621339530011
County Name,True,0.05,multiplicative,ForestDRLearner,0.8279635907311178,3.01050826054536
County Name,True,0.05,multiplicative,XLearner,0.49710355708499115,0.4948219142639694
County Name,True,0.05,multiplicative,Causal Forest (R),0.5620985615862274,0.16794644333278408
County Name,True,0.05,multiplicative,My Estimator,0.13781914877454868,0.10875498551213851
County Name,True,0.05,multiplicative,MCNNM,0.0,0.19691595947299662
County Name,True,0.05,multiplicative,LinearDML,0.46328415845416304,0.07068752969948328
County Name,True,0.05,multiplicative,DML,0.2272032835178325,0.14492348583345346
County Name,True,0.05,multiplicative,CausalForestDML,8.815102415366953,0.1470921661513317
County Name,True,0.05,multiplicative,DRLearner,0.7741838311363454,0.6542814721360941
County Name,True,0.05,multiplicative,ForestDRLearner,16.70556636180227,20.89837215150381
County Name,True,0.05,multiplicative,XLearner,0.34213395171327415,0.17963256997521157
County Name,True,0.05,multiplicative,Causal Forest (R),0.10914054222580163,0.08077423534461906
County Name,True,0.05,multiplicative,My Estimator,1.0626195253057316,3.1873251144528068
County Name,True,0.05,multiplicative,MCNNM,0.0,6.558886687997032
County Name,True,0.05,multiplicative,LinearDML,0.70057341656577,1.8083242371381296
County Name,True,0.05,multiplicative,DML,0.7761035900615575,1.9135928705405725
County Name,True,0.05,multiplicative,CausalForestDML,16.875882888917747,3.709686705114991
County Name,True,0.05,multiplicative,DRLearner,1.1349965541632656,13.71857977313268
County Name,True,0.05,multiplicative,ForestDRLearner,1.1846329363409775,24.854540842630154
County Name,True,0.05,multiplicative,XLearner,0.9884244401158097,5.791100602111147
County Name,True,0.05,multiplicative,Causal Forest (R),0.9826217425233819,1.2396329698826578
County Name,False,0.05,multiplicative,My Estimator,0.6110402277525532,0.3768169456370063
County Name,False,0.05,multiplicative,MCNNM,0.0,0.5681975486409457
County Name,False,0.05,multiplicative,LinearDML,0.5365328140215373,0.4085136067493216
County Name,False,0.05,multiplicative,DML,0.08273985259355972,0.09950411861543182
County Name,False,0.05,multiplicative,CausalForestDML,1.457325664192903,0.39682897368973946
County Name,False,0.05,multiplicative,DRLearner,88.7602147467374,126.499396643355
County Name,False,0.05,multiplicative,ForestDRLearner,0.775252694113517,3.727636591899572
County Name,False,0.05,multiplicative,XLearner,0.37099871902830023,0.38938553811773
County Name,False,0.05,multiplicative,Causal Forest (R),0.42972202210709937,0.21715272159777615
County Name,False,0.05,multiplicative,My Estimator,0.6805791941754556,0.3095835664593127
County Name,False,0.05,multiplicative,MCNNM,0.0,0.41032035546424345
County Name,False,0.05,multiplicative,LinearDML,0.5014286218274431,0.3861653329471119
County Name,False,0.05,multiplicative,DML,0.4353242929939977,0.4797279635965857
County Name,False,0.05,multiplicative,CausalForestDML,0.7343425993584238,0.42574186716094586
County Name,False,0.05,multiplicative,DRLearner,2819.539850465572,3461.0019100959375
County Name,False,0.05,multiplicative,ForestDRLearner,0.8675357604222311,4.557701933658041
County Name,False,0.05,multiplicative,XLearner,0.6800591606969578,0.4810624075063699
County Name,False,0.05,multiplicative,Causal Forest (R),0.38655301994381325,0.3774218254768262
County Name,False,0.05,multiplicative,My Estimator,0.5625901966009327,0.2886632139325246
County Name,False,0.05,multiplicative,MCNNM,0.0,0.28980176179265144
County Name,False,0.05,multiplicative,LinearDML,1.0210968952622137,0.8559784773564881
County Name,False,0.05,multiplicative,DML,0.4440090017005578,0.4497966118436572
County Name,False,0.05,multiplicative,CausalForestDML,1.0183585198377354,1.1423882288301324
County Name,False,0.05,multiplicative,DRLearner,2595.0393599238064,2275.873429040331
County Name,False,0.05,multiplicative,ForestDRLearner,0.636175675062888,1.7921486134801543
County Name,False,0.05,multiplicative,XLearner,0.40673222576664997,0.4598822621592103
County Name,False,0.05,multiplicative,Causal Forest (R),0.37986295437376466,0.3434960849363716
County Name,False,0.05,multiplicative,My Estimator,1.5782963787855298,0.39776260533140906
County Name,False,0.05,multiplicative,MCNNM,0.0,0.19892203196415828
County Name,False,0.05,multiplicative,LinearDML,1.383423149188378,0.5324265008410447
County Name,False,0.05,multiplicative,DML,1.6624232107592882,0.5422521778188805
County Name,False,0.05,multiplicative,CausalForestDML,1.2120840369686512,0.3732557023510236
County Name,False,0.05,multiplicative,DRLearner,22.40004943178926,3.4048614968057596
County Name,False,0.05,multiplicative,ForestDRLearner,1.831752890368739,2.2751963586353714
County Name,False,0.05,multiplicative,XLearner,0.6049991314427691,0.20271304740506346
County Name,False,0.05,multiplicative,Causal Forest (R),1.2763614401748822,0.8249659363428486
County Name,True,0.1,additive,My Estimator,0.40110523850508095,0.24352648930733412
County Name,True,0.1,additive,MCNNM,0.0,0.49972421457449734
County Name,True,0.1,additive,LinearDML,0.12861678397556942,0.1115287418559431
County Name,True,0.1,additive,DML,0.422183080044961,0.20403978233212658
County Name,True,0.1,additive,CausalForestDML,6.7910012171496215,0.23183456840055253
County Name,True,0.1,additive,DRLearner,0.8211520455643956,1.8232446930747028
County Name,True,0.1,additive,ForestDRLearner,0.4905895794853607,0.9103909368726927
County Name,True,0.1,additive,XLearner,0.38656427786840714,0.3545332458137233
County Name,True,0.1,additive,Causal Forest (R),0.4040440912759016,0.11591494713630983
County Name,True,0.1,additive,My Estimator,0.17721083913091235,0.10055768743425138
County Name,True,0.1,additive,MCNNM,0.0,0.21037515823288502
County Name,True,0.1,additive,LinearDML,0.22038609077462634,0.058898977285208425
County Name,True,0.1,additive,DML,0.8810096507907498,0.18231558854755714
County Name,True,0.1,additive,CausalForestDML,3.6879072756410105,0.1219355944178779
County Name,True,0.1,additive,DRLearner,0.45220223520888614,0.5183760828059137
County Name,True,0.1,additive,ForestDRLearner,0.4586045938330241,0.7255045897888873
County Name,True,0.1,additive,XLearner,0.27404485334335504,0.1599320333037036
County Name,True,0.1,additive,Causal Forest (R),0.06684741921408427,0.048695795916499945
County Name,True,0.1,additive,My Estimator,0.493617069377642,0.24213939252609987
County Name,True,0.1,additive,MCNNM,0.0,0.5618594303769294
County Name,True,0.1,additive,LinearDML,0.24365919726954796,0.1544629176262202
County Name,True,0.1,additive,DML,0.796364916788578,0.4385046388385167
County Name,True,0.1,additive,CausalForestDML,7.293005022493948,0.26077072248742084
County Name,True,0.1,additive,DRLearner,1.0430832231842053,2.8931035684587143
County Name,True,0.1,additive,ForestDRLearner,0.6148403695646573,1.0728064848847527
County Name,True,0.1,additive,XLearner,0.4088005456080704,0.3982041151552832
County Name,True,0.1,additive,Causal Forest (R),0.46792742498054674,0.11061058077114168
County Name,True,0.1,additive,My Estimator,0.36423840672250146,0.19525815846546465
County Name,True,0.1,additive,MCNNM,0.0,0.3888534422056715
County Name,True,0.1,additive,LinearDML,0.21347305382802567,0.11164851502692864
County Name,True,0.1,additive,DML,0.2686398063664552,0.16224735947261087
County Name,True,0.1,additive,CausalForestDML,6.188634976355384,0.1967419478867478
County Name,True,0.1,additive,DRLearner,0.8960126370376243,1.7323606064703425
County Name,True,0.1,additive,ForestDRLearner,0.4943755351808856,0.8449739486589108
County Name,True,0.1,additive,XLearner,0.3432887503692283,0.28043147796209233
County Name,True,0.1,additive,Causal Forest (R),0.35420789963923793,0.09021653436249562
County Name,False,0.1,additive,My Estimator,0.3940454999815378,0.39005683225303106
County Name,False,0.1,additive,MCNNM,0.0,0.5905066133370342
County Name,False,0.1,additive,LinearDML,0.3740332401171683,0.28914294413723496
County Name,False,0.1,additive,DML,0.132323832422934,0.13659219823041258
County Name,False,0.1,additive,CausalForestDML,0.48140884460207867,0.3333319457346754
County Name,False,0.1,additive,DRLearner,122.68321687491117,116.14166993175606
County Name,False,0.1,additive,ForestDRLearner,0.5426563286848768,1.4788932884008894
County Name,False,0.1,additive,XLearner,0.35035103576705356,0.501099044759522
County Name,False,0.1,additive,Causal Forest (R),0.35649608207540145,0.3094356192147771
County Name,False,0.1,additive,My Estimator,0.4010877229338713,0.29385592081269385
County Name,False,0.1,additive,MCNNM,0.0,0.39640448320239885
County Name,False,0.1,additive,LinearDML,0.4682403804680005,0.40495142863246464
